Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191512,0.01
191601,-0.17
191602,-0.27
191603,-0.60
191604,-0.36
191605,-0.37
191606,-0.56
191607,-0.35
191608,-0.41
191609,-0.40
191610,-0.39
191611,-0.56
191612,-1.18
191701,-0.51
191702,-0.88
191703,-1.00
191704,-0.63
191705,-0.94
191706,-0.56
191707,-0.24
191708,-0.36
191709,-0.28
191710,-0.70
191711,-0.16
191712,-1.29
191801,-0.64
191802,-0.65
191803,-0.47
191804,-0.77
191805,-0.79
191806,-0.50
191807,-0.43
191808,-0.42
191809,-0.21
191810,-0.02
191811,-0.33
191812,-0.88
191901,-0.62
191902,-0.23
191903,-0.54
191904,0.06
191905,-0.44
191906,-0.27
191907,-0.12
191908,-0.19
191909,-0.19
191910,-0.25
191911,-0.67
191912,-0.55
192001,-0.06
192002,-0.64
192003,-0.06
192004,-0.27
192005,-0.15
192006,-0.39
192007,-0.19
192008,-0.29
192009,-0.30
192010,-0.43
192011,-0.47
192012,-1.06
192101,0.19
192102,-0.16
192103,-0.25
192104,-0.16
192105,-0.14
192106,-0.02
192107,-0.05
192108,-0.41
192109,-0.23
192110,-0.20
192111,-0.34
192112,-0.05
192201,-0.65
192202,-0.70
192203,-0.11
192204,-0.03
192205,-0.25
192206,-0.11
192207,-0.17
192208,-0.32
192209,-0.34
192210,-0.33
192211,-0.02
192212,-0.15
192301,-0.13
192302,-0.72
192303,-0.40
192304,-0.79
192305,-0.44
192306,-0.21
192307,-0.40
192308,-0.37
192309,-0.25
192310,-0.03
192311,0.21
192312,0.09
192401,-0.50
192402,-0.31
192403,-0.07
192404,-0.48
192405,-0.22
192406,-0.18
192407,-0.12
192408,-0.26
192409,-0.17
192410,-0.25
192411,0.06
192412,-0.42
192501,-0.48
192502,-0.51
192503,-0.12
192504,0.04
192505,-0.23
192506,-0.34
192507,-0.32
192508,-0.13
192509,-0.08
192510,-0.29
192511,0.26
192512,0.56
192601,0.57
192602,0.42
192603,0.42
192604,-0.32
192605,-0.30
192606,-0.13
192607,-0.28
192608,-0.06
192609,-0.05
192610,0.08
192611,0.08
192612,-0.42
192701,-0.48
192702,-0.27
192703,-0.56
192704,-0.42
192705,-0.28
192706,-0.15
192707,-0.05
192708,-0.22
192709,0.16
192710,0.37
192711,0.09
192712,-0.61
192801,0.09
192802,-0.13
192803,-0.45
192804,-0.32
192805,-0.16
192806,-0.34
192807,-0.14
192808,-0.19
192809,-0.08
192810,-0.02
192811,0.21
192812,0.03
192901,-0.93
192902,-1.18
192903,-0.24
192904,-0.38
192905,-0.33
192906,-0.50
192907,-0.46
192908,-0.24
192909,-0.25
192910,0.03
192911,0.08
192912,-1.29
193001,-0.60
193002,-0.23
193003,0.20
193004,-0.31
193005,-0.26
193006,-0.11
193007,0.03
193008,0.00
193009,-0.27
193010,-0.13
193011,0.37
193012,0.03
193101,-0.07
193102,-0.61
193103,0.00
193104,-0.24
193105,-0.33
193106,0.06
193107,0.18
193108,0.19
193109,0.20
193110,0.42
193111,-0.01
193112,0.13
193201,0.84
193202,-0.36
193203,-0.45
193204,0.30
193205,-0.20
193206,-0.14
193207,-0.01
193208,-0.14
193209,0.17
193210,0.20
193211,-0.24
193212,-0.29
193301,-0.57
193302,-0.72
193303,-0.45
193304,-0.32
193305,-0.26
193306,-0.29
193307,-0.15
193308,-0.15
193309,-0.29
193310,-0.12
193311,-0.12
193312,-0.69
193401,-0.37
193402,0.44
193403,-0.47
193404,-0.43
193405,0.23
193406,-0.02
193407,-0.04
193408,-0.04
193409,-0.35
193410,0.02
193411,0.27
193412,0.13
193501,-0.55
193502,0.92
193503,0.03
193504,-0.63
193505,-0.34
193506,-0.19
193507,-0.06
193508,-0.10
193509,-0.07
193510,0.09
193511,-0.75
193512,-0.34
193601,-0.57
193602,-0.79
193603,-0.25
193604,-0.33
193605,-0.01
193606,-0.08
193607,0.23
193608,-0.01
193609,-0.06
193610,0.11
193611,0.16
193612,0.23
193701,-0.49
193702,0.23
193703,-0.49
193704,-0.32
193705,0.09
193706,0.20
193707,-0.02
193708,0.13
193709,0.29
193710,0.31
193711,0.20
193712,-0.26
193801,0.18
193802,0.13
193803,0.32
193804,0.53
193805,0.17
193806,-0.11
193807,0.05
193808,0.08
193809,0.29
193810,0.34
193811,0.39
193812,-0.27
193901,0.18
193902,0.03
193903,-0.35
193904,-0.18
193905,0.16
193906,0.09
193907,0.05
193908,0.10
193909,-0.08
193910,-0.18
193911,0.08
193912,1.24
194001,-0.46
194002,0.09
194003,0.05
194004,0.26
194005,-0.02
194006,0.09
194007,0.15
194008,0.01
194009,0.22
194010,0.08
194011,0.00
194012,0.44
194101,0.03
194102,0.28
194103,-0.02
194104,0.20
194105,0.16
194106,0.20
194107,0.24
194108,0.18
194109,-0.17
194110,0.32
194111,-0.13
194112,-0.07
194201,0.34
194202,-0.30
194203,0.01
194204,0.02
194205,-0.01
194206,0.15
194207,-0.09
194208,-0.06
194209,0.09
194210,0.18
194211,0.28
194212,0.15
194301,-0.38
194302,0.29
194303,-0.12
194304,0.24
194305,0.18
194306,-0.29
194307,0.00
194308,-0.12
194309,0.00
194310,0.42
194311,0.11
194312,0.57
194401,0.80
194402,0.35
194403,0.34
194404,0.01
194405,0.08
194406,0.12
194407,0.15
194408,0.15
194409,0.42
194410,0.38
194411,-0.10
194412,-0.29
194501,-0.19
194502,-0.65
194503,-0.15
194504,0.23
194505,-0.11
194506,-0.05
194507,-0.12
194508,0.39
194509,0.14
194510,0.21
194511,-0.02
194512,-0.52
194601,0.32
194602,0.30
194603,-0.11
194604,0.42
194605,-0.01
194606,-0.24
194607,-0.02
194608,-0.03
194609,-0.04
194610,-0.04
194611,0.07
194612,-0.69
194701,-0.32
194702,-0.15
194703,0.35
194704,0.27
194705,0.00
194706,0.01
194707,-0.08
194708,-0.07
194709,0.03
194710,0.47
194711,0.15
194712,-0.14
194801,0.61
194802,-0.02
194803,-0.34
194804,0.05
194805,0.21
194806,0.11
194807,0.03
194808,0.02
194809,0.04
194810,0.12
194811,0.05
194812,-0.20
194901,0.48
194902,-0.41
194903,-0.17
194904,0.03
194905,0.10
194906,-0.21
194907,-0.18
194908,-0.01
194909,-0.15
194910,0.03
194911,0.06
194912,-0.35
195001,-0.77
195002,-0.46
195003,-0.12
195004,-0.31
195005,-0.02
195006,-0.12
195007,-0.29
195008,-0.38
195009,-0.11
195010,-0.26
195011,-0.83
195012,-0.15
195101,-0.58
195102,-0.99
195103,-0.26
195104,-0.11
195105,0.15
195106,-0.11
195107,0.02
195108,0.09
195109,0.31
195110,0.18
195111,-0.02
195112,0.59
195201,0.30
195202,0.06
195203,-0.32
195204,0.05
195205,0.03
195206,0.00
195207,0.12
195208,0.04
195209,0.15
195210,-0.23
195211,-0.73
195212,-0.13
195301,0.20
195302,0.38
195303,0.48
195304,0.36
195305,0.18
195306,0.18
195307,0.05
195308,0.14
195309,0.16
195310,0.20
195311,-0.24
195312,0.27
195401,-0.69
195402,-0.21
195403,-0.21
195404,-0.28
195405,-0.37
195406,-0.08
195407,-0.13
195408,0.03
195409,0.08
195410,0.11
195411,0.41
195412,-0.24
195501,0.66
195502,-0.05
195503,-0.74
195504,-0.45
195505,-0.10
195506,0.00
195507,-0.20
195508,0.13
195509,-0.02
195510,0.09
195511,-0.29
195512,-0.44
195601,-0.41
195602,-0.62
195603,-0.42
195604,-0.51
195605,-0.42
195606,-0.22
195607,-0.23
195608,-0.40
195609,-0.41
195610,-0.39
195611,-0.42
195612,-0.40
195701,-0.33
195702,-0.36
195703,-0.31
195704,-0.27
195705,-0.08
195706,0.12
195707,-0.17
195708,0.05
195709,0.12
195710,-0.05
195711,0.17
195712,0.62
195801,0.75
195802,0.38
195803,0.11
195804,0.10
195805,0.16
195806,-0.07
195807,0.06
195808,-0.02
195809,-0.14
195810,-0.01
195811,0.15
195812,0.25
195901,0.22
195902,0.05
195903,0.57
195904,0.26
195905,-0.08
195906,0.18
195907,0.10
195908,0.04
195909,0.12
195910,-0.18
195911,-0.34
195912,-0.02
196001,0.05
196002,0.65
196003,-0.74
196004,-0.23
196005,-0.44
196006,0.14
196007,-0.10
196008,0.02
196009,0.07
196010,0.02
196011,-0.25
196012,0.65
196101,0.31
196102,0.40
196103,0.41
196104,0.18
196105,0.24
196106,0.16
196107,0.00
196108,0.01
196109,0.02
196110,-0.22
196111,0.05
196112,-0.17
196201,0.35
196202,0.49
196203,0.33
196204,0.19
196205,0.00
196206,-0.15
196207,-0.02
196208,-0.05
196209,0.01
196210,0.16
196211,0.18
196212,0.34
196301,0.16
196302,0.90
196303,0.03
196304,-0.17
196305,-0.20
196306,-0.11
196307,0.17
196308,0.21
196309,0.32
196310,0.60
196311,0.46
196312,0.13
196401,0.12
196402,-0.20
196403,-0.30
196404,-0.36
196405,-0.10
196406,-0.16
196407,-0.16
196408,-0.20
196409,-0.30
196410,-0.49
196411,-0.16
196412,-0.35
196501,0.11
196502,-0.38
196503,-0.09
196504,-0.42
196505,-0.11
196506,-0.07
196507,-0.17
196508,-0.18
196509,-0.16
196510,0.14
196511,-0.25
196512,0.05
196601,-0.16
196602,-0.04
196603,0.11
196604,-0.29
196605,-0.04
196606,0.18
196607,0.16
196608,0.08
196609,0.08
196610,-0.15
196611,-0.17
196612,-0.48
196701,-0.22
196702,-0.39
196703,0.08
196704,0.12
196705,0.33
196706,-0.21
196707,-0.12
196708,-0.12
196709,-0.10
196710,0.52
196711,0.09
196712,0.11
196801,-0.35
196802,-0.07
196803,0.86
196804,-0.04
196805,-0.22
196806,-0.23
196807,-0.16
196808,-0.18
196809,-0.21
196810,-0.12
196811,-0.20
196812,-0.48
196901,-1.05
196902,-0.88
196903,-0.05
196904,0.10
196905,0.04
196906,-0.04
196907,0.11
196908,0.00
196909,-0.07
196910,-0.04
196911,0.40
196912,0.47
197001,0.07
197002,0.56
197003,-0.13
197004,0.21
197005,0.01
197006,0.13
197007,0.09
197008,-0.02
197009,0.03
197010,-0.22
197011,-0.02
197012,-0.23
197101,0.11
197102,-0.37
197103,-0.14
197104,-0.15
197105,-0.09
197106,-0.17
197107,-0.07
197108,-0.04
197109,0.11
197110,-0.03
197111,0.38
197112,0.16
197201,-0.89
197202,-0.76
197203,0.02
197204,0.03
197205,-0.06
197206,0.07
197207,-0.06
197208,0.05
197209,-0.22
197210,-0.07
197211,-0.24
197212,0.15
197301,0.29
197302,0.81
197303,0.79
197304,0.50
197305,0.35
197306,0.47
197307,0.23
197308,0.15
197309,0.06
197310,0.09
197311,0.01
197312,0.28
197401,-0.62
197402,-0.65
197403,0.09
197404,0.09
197405,-0.05
197406,-0.09
197407,0.05
197408,-0.05
197409,-0.17
197410,-0.29
197411,-0.23
197412,-0.31
197501,0.39
197502,0.13
197503,0.43
197504,0.29
197505,0.23
197506,0.19
197507,0.09
197508,-0.09
197509,0.22
197510,-0.12
197511,-0.17
197512,0.08
197601,0.27
197602,-0.21
197603,-0.66
197604,0.10
197605,-0.17
197606,-0.22
197607,-0.23
197608,-0.20
197609,-0.05
197610,-0.84
197611,-0.44
197612,-0.14
197701,-0.48
197702,0.31
197703,0.67
197704,0.58
197705,0.42
197706,0.45
197707,0.21
197708,0.09
197709,0.16
197710,-0.05
197711,0.56
197712,0.07
197801,0.16
197802,0.20
197803,0.47
197804,0.30
197805,0.04
197806,-0.09
197807,-0.03
197808,-0.23
197809,0.01
197810,0.07
197811,0.32
197812,0.04
197901,-0.06
197902,-0.17
197903,0.28
197904,-0.20
197905,0.09
197906,0.13
197907,0.10
197908,0.17
197909,0.19
197910,0.34
197911,0.24
197912,0.97
198001,0.19
198002,0.43
198003,0.03
198004,0.44
198005,0.49
198006,0.26
198007,0.22
198008,0.24
198009,0.20
198010,0.25
198011,0.64
198012,0.39
198101,1.20
198102,0.90
198103,0.97
198104,0.69
198105,0.32
198106,0.28
198107,0.21
198108,0.38
198109,0.14
198110,0.05
198111,0.29
198112,0.90
198201,-0.13
198202,0.17
198203,-0.14
198204,0.33
198205,0.14
198206,-0.02
198207,0.19
198208,0.12
198209,0.23
198210,-0.06
198211,-0.18
198212,0.72
198301,0.89
198302,0.86
198303,0.62
198304,0.23
198305,0.32
198306,0.18
198307,0.34
198308,0.52
198309,0.50
198310,0.26
198311,0.99
198312,0.32
198401,0.37
198402,-0.01
198403,0.46
198404,0.08
198405,0.60
198406,0.07
198407,0.05
198408,0.15
198409,-0.10
198410,0.05
198411,-0.22
198412,-0.73
198501,0.32
198502,-0.35
198503,0.29
198504,0.27
198505,0.30
198506,0.11
198507,-0.11
198508,0.20
198509,-0.05
198510,0.05
198511,0.00
198512,0.21
198601,0.76
198602,0.53
198603,0.63
198604,0.52
198605,0.43
198606,0.31
198607,0.06
198608,0.18
198609,0.03
198610,0.08
198611,-0.05
198612,0.16
198701,0.48
198702,1.16
198703,0.13
198704,0.33
198705,0.42
198706,0.31
198707,0.55
198708,0.33
198709,0.48
198710,0.20
198711,0.09
198712,0.91
198801,0.81
198802,0.36
198803,0.75
198804,0.70
198805,0.55
198806,0.64
198807,0.52
198808,0.46
198809,0.51
198810,0.47
198811,0.40
198812,0.82
198901,0.20
198902,0.48
198903,0.66
198904,0.34
198905,0.37
198906,0.21
198907,0.29
198908,0.27
198909,0.27
198910,0.37
198911,0.17
198912,0.74
199001,0.56
199002,0.60
199003,1.67
199004,0.80
199005,0.59
199006,0.53
199007,0.28
199008,0.43
199009,0.30
199010,0.59
199011,0.83
199012,0.69
199101,0.69
199102,0.82
199103,0.42
199104,0.83
199105,0.47
199106,0.71
199107,0.47
199108,0.40
199109,0.48
199110,0.41
199111,0.37
199112,0.29
199201,0.99
199202,0.83
199203,0.74
199204,0.27
199205,0.28
199206,0.13
199207,-0.20
199208,-0.06
199209,-0.26
199210,-0.11
199211,-0.14
199212,0.46
199301,0.68
199302,0.69
199303,0.83
199304,0.37
199305,0.37
199306,0.32
199307,0.28
199308,0.21
199309,0.03
199310,0.23
199311,-0.32
199312,0.52
199401,0.48
199402,-0.29
199403,0.73
199404,0.57
199405,0.66
199406,0.64
199407,0.33
199408,0.31
199409,0.48
199410,0.65
199411,0.71
199412,0.53
199501,1.04
199502,1.59
199503,0.82
199504,0.62
199505,0.47
199506,0.75
199507,0.52
199508,0.81
199509,0.66
199510,0.75
199511,0.74
199512,0.51
199601,0.20
199602,0.78
199603,0.32
199604,0.08
199605,0.57
199606,0.37
199607,0.43
199608,0.36
199609,0.11
199610,0.12
199611,0.28
199612,0.55
199701,0.52
199702,0.74
199703,0.78
199704,0.61
199705,0.42
199706,0.64
199707,0.48
199708,0.60
199709,0.76
199710,0.81
199711,0.59
199712,0.74
199801,0.72
199802,1.69
199803,0.93
199804,1.23
199805,0.99
199806,1.00
199807,1.14
199808,1.11
199809,0.83
199810,0.73
199811,0.34
199812,1.12
199901,1.01
199902,1.69
199903,0.37
199904,0.78
199905,0.64
199906,0.63
199907,0.67
199908,0.55
199909,0.66
199910,0.63
199911,0.62
199912,1.20
200001,0.51
200002,1.08
200003,1.08
200004,1.34
200005,0.73
200006,0.63
200007,0.54
200008,0.67
200009,0.51
200010,0.22
200011,0.06
200012,0.22
200101,0.75
200102,0.52
200103,1.19
200104,0.96
200105,1.03
200106,0.70
200107,0.82
200108,0.91
200109,0.69
200110,0.59
200111,1.33
200112,0.77
200201,1.41
200202,1.70
200203,1.58
200204,0.78
200205,0.80
200206,0.77
200207,0.99
200208,0.84
200209,0.85
200210,0.54
200211,0.95
200212,0.42
200301,1.34
200302,0.95
200303,0.86
200304,0.86
200305,0.96
200306,0.71
200307,0.75
200308,0.89
200309,0.87
200310,1.16
200311,0.69
200312,1.47
200401,0.95
200402,1.31
200403,1.30
200404,0.86
200405,0.48
200406,0.58
200407,0.41
200408,0.50
200409,0.67
200410,0.81
200411,1.40
200412,0.63
200501,1.09
200502,0.74
200503,1.34
200504,1.32
200505,0.98
200506,1.03
200507,0.95
200508,0.81
200509,1.12
200510,1.21
200511,1.45
200512,1.14
200601,0.69
200602,1.31
200603,1.17
200604,0.74
200605,0.68
200606,1.06
200607,0.90
200608,0.95
200609,0.88
200610,1.07
200611,0.88
200612,1.48
200701,1.97
200702,1.14
200703,1.24
200704,1.47
200705,1.11
200706,0.76
200707,0.82
200708,0.90
200709,1.02
200710,1.02
200711,1.10
200712,0.99
200801,0.21
200802,0.60
200803,1.86
200804,0.83
200805,0.83
200806,0.79
200807,0.86
200808,0.75
200809,0.70
200810,1.23
200811,1.31
200812,0.81
200901,1.05
200902,1.02
200903,1.00
200904,1.07
200905,0.75
200906,0.78
200907,0.74
200908,0.92
200909,1.15
200910,0.84
200911,1.00
200912,0.58
201001,1.02
201002,1.18
201003,1.55
201004,1.42
201005,1.20
201006,1.17
201007,1.14
201008,1.04
201009,0.90
201010,1.10
201011,1.56
201012,0.58
201101,0.60
201102,0.57
201103,0.99
201104,1.20
201105,0.81
201106,1.02
201107,1.03
201108,1.04
201109,0.98
201110,1.14
201111,0.70
201112,0.99
201201,0.62
201202,0.51
201203,0.89
201204,1.47
201205,1.33
201206,1.22
201207,1.03
201208,0.96
201209,1.11
201210,1.04
201211,1.13
201212,0.30
201301,1.01
201302,1.20
201303,1.09
201304,0.78
201305,1.12
201306,1.08
201307,0.81
201308,0.86
201309,0.95
201310,0.95
201311,1.48
201312,1.09
201401,1.15
201402,0.34
201403,1.37
201404,1.34
201405,1.18
201406,0.99
201407,0.79
201408,1.06
201409,0.97
201410,1.01
201411,0.73
201412,1.35
201501,1.47
201502,1.68
201503,1.69
201504,1.16
201505,1.32
201506,1.30
201507,1.06
201508,1.20
201509,1.25
201510,1.48
201511,1.38
201512,1.98
201601,1.68
201602,2.42
201603,2.51
201604,1.96
201605,1.31
201606,1.23
201607,1.17
201608,1.40
201609,1.38
201610,0.89
201611,1.10
201612,1.31
201701,1.65
201702,1.78
201703,1.96
201704,1.42
201705,1.29
201706,1.19
201707,1.22
201708,1.27
201709,1.25
201710,1.11
201711,1.16
201712,1.55
201801,1.16
201802,1.20
201803,1.60
201804,1.34
201805,1.25
201806,1.12
201807,1.18
201808,1.03
201809,1.07
201810,1.32
201811,0.90
201812,1.24
201901,1.63
201902,1.16
201903,2.00
201904,1.56
201905,1.16
201906,1.31
201907,1.18
201908,1.13
201909,1.37
201910,1.42
201911,1.29
201912,1.76
202001,2.08
202002,2.26
202003,2.13
202004,1.64
202005,1.40
202006,1.31
202007,1.23
202008,1.27
202009,1.48
202010,1.21
202011,1.73
202012,1.28
202101,1.34
202102,0.90
202103,1.61
202104,1.27
202105,1.29
202106,1.44
202107,1.40
202108,1.35
202109,1.37
202110,1.39
